 X_RMS Y_RMS Z_RMS Latitude Longitude
ABG 11.66 6.326 5.673 18.638 72.872
AIA 5.664 1.982 5.059 -65.245 -64.258
API 12.065 5.728 4.713 -13.815 -171.781
ARS 9.136 2.0 11.163 56.433 58.567
ASC 10.826 3.446 2.718 -7.95 -14.38
BDV 7.166 2.329 5.471 49.08 14.02
BEL 6.699 2.094 5.258 51.84 20.79
BFO 5.686 1.842 4.253 48.331 8.325
BLC 10.085 4.288 13.506 64.318 -96.012
BMT 10.226 1.599 3.888 40.3 116.2
BOU 7.369 1.723 4.683 40.14 -105.233
BOX 6.275 2.807 5.414 58.07 38.23
BRW 12.347 7.413 11.587 71.32 -156.62
CBB 8.964 11.504 13.884 69.123 -105.031
CKI 9.491 1.539 3.254 -12.188 96.834
CLF 7.167 2.251 5.168 48.025 2.26
CMO 12.093 5.817 7.012 64.87 -147.86
CNB 8.291 1.895 4.728 -35.32 149.36
CSY 9.155 4.208 10.356 -66.283 110.533
CTA 10.623 2.221 3.89 -20.09 146.264
CZT 7.601 3.595 5.793 -46.43 51.87
DED 8.793 6.303 11.531 70.36 -148.79
DLT 12.567 8.147 4.024 11.94 108.48
DOU 6.836 2.241 5.188 50.1 4.6
DRV 8.133 4.141 12.339 -66.67 140.01
EYR 7.772 4.523 6.614 -43.474 172.393
FCC 11.786 2.763 11.339 58.759 -94.088
FRD 7.117 1.266 4.894 38.21 -77.367
FRN 7.903 2.084 5.427 37.09 -119.72
FUR 7.011 2.449 5.178 48.17 11.28
GAN 10.319 3.138 3.038 -0.695 73.154
GCK 6.298 2.567 3.569 44.633 20.767
GDH 7.187 4.065 12.391 69.252 -53.533
GNG 7.768 1.473 4.132 -31.356 115.715
GUA 11.407 2.109 2.729 13.59 144.87
GUI 8.968 3.376 4.261 28.321 -16.441
HAD 6.057 2.316 5.331 51.0 -4.48
HBK 8.575 3.846 4.563 -25.88 27.71
HER 8.599 2.756 3.973 -34.43 19.23
HLP 6.697 2.964 6.269 54.61 18.82
HON 10.708 2.625 3.477 21.32 -158.0
HRN 9.179 4.925 10.515 77.0 15.55
HUA 12.39 2.26 2.658 -12.05 -75.33
HYB 8.83 3.025 2.87 17.42 78.55
IPM 13.282 3.628 7.09 -27.171 -109.42
IZN 6.043 3.825 2.597 40.5 29.72
JAI 11.014 3.198 4.623 26.92 75.8
KAK 10.43 1.267 3.534 36.232 140.186
KDU 11.357 2.841 3.335 -12.69 132.47
KEP 6.016 2.232 4.712 -54.282 -36.493
KMH 6.841 2.578 3.171 -26.54 18.11
KNY 10.724 0.987 3.095 31.42 130.88
KOU 10.305 1.972 3.129 5.21 -52.73
LER 5.791 2.854 5.335 60.138 -1.183
LON 7.028 1.96 4.462 45.408 16.659
LRM 9.168 1.736 3.862 -22.22 114.1
LVV 8.574 3.66 5.664 49.9 23.75
LYC 6.567 2.264 4.682 64.612 18.748
MAB 10.44 2.155 6.18 50.298 5.682
MAW 6.96 6.818 10.37 -67.6 62.88
MCQ 10.063 4.453 6.914 -54.5 158.95
MEA 10.079 3.8 5.851 54.616 -113.347
MGD 6.234 2.065 4.073 60.051 150.728
MMB 9.479 1.45 4.074 43.91 144.19
NAQ 10.647 4.168 8.707 61.167 -45.433
NEW 6.33 2.132 4.963 48.27 -117.12
NGK 6.599 2.3 5.28 52.07 12.68
NUR 5.581 2.261 5.354 60.51 24.66
NVS 7.706 1.399 4.714 54.85 83.23
OTT 6.432 1.292 4.954 45.403 -75.552
PAF 7.047 2.963 5.185 -49.35 70.26
PAG 7.629 2.206 4.388 42.515 24.177
PET 6.784 3.079 7.429 52.971 158.248
PHU 12.121 5.414 4.41 21.03 105.95
PIL 8.412 3.963 2.961 -31.4 -63.88
PST 7.182 7.187 7.551 -51.7 -57.89
RES 6.676 3.93 12.458 74.69 -94.895
SBA 10.617 12.883 18.649 -77.85 166.762
SBL 6.2 1.559 4.803 43.932 -60.01
SHU 7.171 4.404 4.946 55.35 -160.46
SIT 6.735 2.858 4.838 57.06 -135.33
SJG 10.41 2.636 4.108 18.11 -66.15
SOD 10.607 2.752 6.272 67.37 26.63
SPT 8.063 2.167 4.668 39.55 -4.35
STJ 6.84 2.866 5.607 47.595 -52.677
SUA 8.442 5.156 4.994 44.68 26.25
TAM 9.966 3.044 3.169 22.79 5.53
TDC 7.095 1.864 3.73 -37.067 -12.316
THL 5.264 3.011 12.11 77.47 -69.227
THY 7.534 2.145 5.02 46.9 17.89
TSU 10.016 3.904 3.607 -19.202 17.584
TUC 8.537 1.983 4.286 32.17 -110.73
UPS 5.192 1.961 5.162 59.903 17.353
VAL 6.182 2.972 5.562 51.933 -10.25
VIC 6.957 2.118 5.516 48.52 -123.42
VNA 6.555 6.384 5.622 -70.683 -8.283
VSS 9.761 2.32 2.729 -22.4 -43.65
WNG 6.131 2.452 5.409 53.725 9.053
YAK 9.063 2.682 7.994 61.96 129.66
YKC 12.014 4.552 12.231 62.48 -114.482
AAE 14.936 4.743 2.821 9.035 38.77
AMS 9.65 2.875 5.821 -37.8 77.57
AQU 9.673 3.01 5.952 42.38 13.32
BFE 7.314 2.828 6.214 55.625 11.672
BNG 14.538 12.854 5.426 4.33 18.57
DLR 11.281 3.818 5.785 29.49 -100.917
GNA 9.015 1.936 4.973 -31.78 115.947
GZH 15.509 0.884 2.677 23.97 112.45
LOV 6.858 3.047 6.309 59.34 17.82
LZH 12.058 3.983 6.483 36.087 103.845
MBO 10.976 2.231 2.809 14.38 -16.97
PBQ 14.927 5.654 10.002 55.277 -77.745
QSB 14.212 3.713 4.573 33.871 35.644
TAN 15.518 3.377 4.241 -18.917 47.552
TEO 19.855 6.564 10.454 19.747 -99.182
