Imos Latitude Longitude Elevation
AAA 43.25 76.92 1300.0
ABG 18.638 72.872 6.0
ABK 68.358 18.823 380.0
AIA -65.245 -64.258 10.0
API -13.815 -171.781 2.0
ARS 56.433 58.567 290.0
ASC -7.95 -14.38 177.0
BDV 49.08 14.02 496.0
BEL 51.84 20.79 180.0
BFO 48.331 8.325 641.0
BLC 64.318 -96.012 30.0
BMT 40.3 116.2 183.0
BOU 40.14 -105.233 1682.0
BOX 58.07 38.23 115.0
BRD 49.87 -99.974 380.0
BRW 71.32 -156.62 10.0
BSL 30.35 -89.64 8.0
CBB 69.123 -105.031 20.0
CKI -12.188 96.834 5.0
CLF 48.025 2.26 145.0
CMO 64.87 -147.86 197.0
CNB -35.32 149.36 859.0
CPL 17.294 78.919 360.0
CSY -66.283 110.533 41.0
CTA -20.09 146.264 370.0
CYG 36.37 126.854 165.0
CZT -46.43 51.87 160.0
DED 70.36 -148.79 10.0
DLT 11.94 108.48 1583.0
DOU 50.1 4.6 225.0
DRV -66.67 140.01 30.0
DUR 41.39 14.28 920.0
EBR 40.957 0.333 532.0
ESK 55.314 -3.206 245.0
EYR -43.474 172.393 102.0
FCC 58.759 -94.088 15.0
FRD 38.21 -77.367 69.0
FRN 37.09 -119.72 331.0
FUR 48.17 11.28 572.0
GAN -0.695 73.154 2.0
GCK 44.633 20.767 231.0
GDH 69.252 -53.533 24.0
GNG -31.356 115.715 50.0
GUA 13.59 144.87 140.0
GUI 28.321 -16.441 868.0
HAD 51.0 -4.48 95.0
HBK -25.88 27.71 1555.0
HER -34.43 19.23 26.0
HLP 54.61 18.82 1.0
HON 21.32 -158.0 4.0
HRB 47.873 18.19 112.0
HRN 77.0 15.55 15.0
HUA -12.05 -75.33 3336.0
HYB 17.42 78.55 500.0
IPM -27.171 -109.42 83.0
IQA 63.753 -68.518 100.0
IRT 52.27 104.45 478.0
IZN 40.5 29.72 256.0
JAI 26.92 75.8 0.0
JCO 70.356 148.799 20.0
KAK 36.232 140.186 36.0
KDU -12.69 132.47 14.6
KEP -54.282 -36.493 7.0
KHB 47.61 134.69 92.0
KIV 50.72 30.3 140.0
KMH -26.54 18.11 1065.0
KNY 31.42 130.88 107.0
KOU 5.21 -52.73 10.0
LER 60.138 -1.183 85.0
LON 45.408 16.659 95.0
LRM -22.22 114.1 4.0
LVV 49.9 23.75 326.0
LYC 64.612 18.748 270.0
MAB 50.298 5.682 440.0
MAW -67.6 62.88 12.0
MCQ -54.5 158.95 4.0
MEA 54.616 -113.347 700.0
MGD 60.051 150.728 226.0
MMB 43.91 144.19 42.0
NAQ 61.167 -45.433 4.0
NCK 47.63 16.72 153.0
NEW 48.27 -117.12 770.0
NGK 52.07 12.68 78.0
NUR 60.51 24.66 105.0
NVS 54.85 83.23 130.0
ORC -60.737 -44.74 3.0
OTT 45.403 -75.552 75.0
PAF -49.35 70.26 35.0
PAG 42.515 24.177 556.0
PEG 38.1 23.9 380.0
PET 52.971 158.248 50.0
PHU 21.03 105.95 5.0
PIL -31.4 -63.88 333.0
PPT -17.567 -149.574 357.0
PST -51.7 -57.89 135.0
RES 74.69 -94.895 25.0
SBA -77.85 166.762 10.0
SBL 43.932 -60.01 5.0
SFS 36.667 -5.945 111.0
SHE -15.961 -5.747 586.0
SHU 55.35 -160.46 80.0
SIT 57.06 -135.33 24.0
SJG 18.11 -66.15 424.0
SOD 67.37 26.63 178.0
SPT 39.55 -4.35 922.0
STJ 47.595 -52.677 100.0
SUA 44.68 26.25 84.0
TAM 22.79 5.53 1373.0
TDC -37.067 -12.316 41.0
THL 77.47 -69.227 57.0
THY 46.9 17.89 187.0
TRW -43.267 -65.383 15.0
TSU -19.202 17.584 1273.0
TTB -1.205 -48.513 10.0
TUC 32.17 -110.73 946.0
UPS 59.903 17.353 50.0
VAL 51.933 -10.25 14.0
VIC 48.52 -123.42 185.0
VNA -70.683 -8.283 46.0
VOS -78.464 106.835 3488.0
VSS -22.4 -43.65 457.0
WIC 47.93 15.866 1087.0
WNG 53.725 9.053 66.0
YAK 61.96 129.66 96.0
YKC 62.48 -114.482 198.0
AAE 9.035 38.77 2441.0
ALE 82.497 -62.353 60.0
AMS -37.8 77.57 50.0
AQU 42.38 13.32 682.0
BFE 55.625 11.672 80.0
BNG 4.33 18.57 395.0
CNH 44.08 124.86 90.0
DLR 29.49 -100.917 357.0
DMC -75.25 124.167 3250.0
GLN 49.645 -97.12 24.0
GNA -31.78 115.947 60.0
GZH 23.97 112.45 14.0
ISK 41.063 29.062 460.0
LNP 25 121.167 100.0
LOV 59.34 17.82 30.0
LZH 36.087 103.845 1560.0
MBC 76.315 -119.362 1560.0
MBO 14.38 -16.97 7.0
MID 28.21 -177.38 0.0
PBQ 55.277 -77.745 35.0
QSB 33.871 35.644 525.0
SON 25.1168 66.449 178.0
TAN -18.917 47.552 1375.0
TEO 19.747 -99.182 2280.0
TIK 71.58 129.0 57.0
